[Diphonename],[Startpage],[Pagesize],[Pageoffset],[Diphonesize]
===============================================================
[a          ],[0        ],[5       ],[127       ],[1228       ]
[b          ],[5        ],[5       ],[35        ],[1136       ]
[d          ],[10       ],[6       ],[217       ],[1582       ]
[e          ],[16       ],[6       ],[119       ],[1484       ]
[f          ],[22       ],[7       ],[7         ],[1636       ]
[g          ],[29       ],[7       ],[5         ],[1634       ]
[h          ],[36       ],[7       ],[15        ],[1644       ]
[i          ],[43       ],[4       ],[247       ],[1084       ]
[j          ],[47       ],[6       ],[119       ],[1484       ]
[k          ],[53       ],[2       ],[255       ],[564        ]
[l          ],[55       ],[7       ],[87        ],[1716       ]
[m          ],[62       ],[6       ],[263       ],[1628       ]
[n          ],[68       ],[6       ],[247       ],[1612       ]
[o          ],[74       ],[5       ],[29        ],[1130       ]
[p          ],[79       ],[2       ],[101       ],[410        ]
[r          ],[81       ],[6       ],[119       ],[1484       ]
[s          ],[87       ],[5       ],[47        ],[1148       ]
[t          ],[92       ],[3       ],[233       ],[806        ]
[u          ],[95       ],[5       ],[5         ],[1106       ]
[v          ],[100      ],[6       ],[79        ],[1444       ]
[x          ],[106      ],[5       ],[101       ],[1202       ]
[y          ],[111      ],[6       ],[5         ],[1370       ]
[ä          ],[117      ],[5       ],[53        ],[1154       ]
[ö          ],[122      ],[4       ],[219       ],[1056       ]
[ad         ],[126      ],[8       ],[37        ],[1930       ]
[ar         ],[134      ],[10      ],[23        ],[2444       ]
[an         ],[144      ],[9       ],[59        ],[2216       ]
[as         ],[153      ],[9       ],[83        ],[2240       ]
[av         ],[162      ],[7       ],[255       ],[1884       ]
[ba         ],[169      ],[6       ],[119       ],[1484       ]
[bä         ],[175      ],[6       ],[175       ],[1540       ]
[be         ],[181      ],[6       ],[89        ],[1454       ]
[bi         ],[187      ],[8       ],[117       ],[2010       ]
[bo         ],[195      ],[8       ],[199       ],[2092       ]
[bö         ],[203      ],[9       ],[127       ],[2284       ]
[bu         ],[212      ],[8       ],[207       ],[2100       ]
[by         ],[220      ],[8       ],[231       ],[2124       ]
[dä         ],[228      ],[6       ],[47        ],[1412       ]
[de         ],[234      ],[6       ],[255       ],[1620       ]
[di         ],[240      ],[7       ],[185       ],[1814       ]
[do         ],[247      ],[7       ],[125       ],[1754       ]
[dö         ],[254      ],[7       ],[243       ],[1872       ]
[du         ],[261      ],[7       ],[175       ],[1804       ]
[dy         ],[268      ],[7       ],[95        ],[1724       ]
[ej         ],[275      ],[7       ],[13        ],[1642       ]
[et         ],[282      ],[5       ],[229       ],[1330       ]
[fa         ],[287      ],[9       ],[185       ],[2342       ]
[fä         ],[296      ],[6       ],[153       ],[1518       ]
[fi         ],[302      ],[6       ],[169       ],[1534       ]
[fo         ],[308      ],[8       ],[135       ],[2028       ]
[fö         ],[316      ],[7       ],[95        ],[1724       ]
[fu         ],[323      ],[8       ],[71        ],[1964       ]
[fy         ],[331      ],[9       ],[45        ],[2202       ]
[gi         ],[340      ],[8       ],[151       ],[2044       ]
[go         ],[348      ],[10      ],[103       ],[2524       ]
[gö         ],[358      ],[10      ],[103       ],[2524       ]
[gu         ],[368      ],[9       ],[99        ],[2256       ]
[gy         ],[377      ],[7       ],[235       ],[1864       ]
[ha         ],[384      ],[6       ],[119       ],[1484       ]
[hä         ],[390      ],[7       ],[87        ],[1716       ]
[hi         ],[397      ],[7       ],[15        ],[1644       ]
[ho         ],[404      ],[7       ],[175       ],[1804       ]
[hö         ],[411      ],[8       ],[71        ],[1964       ]
[hu         ],[419      ],[7       ],[217       ],[1846       ]
[hy         ],[426      ],[8       ],[127       ],[2020       ]
[ij         ],[434      ],[6       ],[119       ],[1484       ]
[il         ],[440      ],[7       ],[37        ],[1666       ]
[im         ],[447      ],[7       ],[15        ],[1644       ]
[in         ],[454      ],[7       ],[31        ],[1660       ]
[ip         ],[461      ],[7       ],[255       ],[1884       ]
[ir         ],[468      ],[7       ],[15        ],[1644       ]
[is         ],[475      ],[6       ],[223       ],[1588       ]
[it         ],[481      ],[6       ],[183       ],[1548       ]
[iv         ],[487      ],[7       ],[101       ],[1730       ]
[ja         ],[494      ],[5       ],[223       ],[1324       ]
[jä         ],[499      ],[6       ],[95        ],[1460       ]
[jo         ],[505      ],[6       ],[79        ],[1444       ]
[jö         ],[511      ],[6       ],[179       ],[1544       ]
[ju         ],[517      ],[5       ],[149       ],[1250       ]
[jy         ],[522      ],[6       ],[119       ],[1484       ]
[ka         ],[528      ],[7       ],[15        ],[1644       ]
[kä         ],[535      ],[6       ],[145       ],[1510       ]
[ko         ],[541      ],[6       ],[107       ],[1472       ]
[kö         ],[547      ],[5       ],[177       ],[1278       ]
[ku         ],[552      ],[7       ],[3         ],[1632       ]
[ky         ],[559      ],[5       ],[215       ],[1316       ]
[la         ],[564      ],[6       ],[249       ],[1614       ]
[lä         ],[570      ],[7       ],[15        ],[1644       ]
[lo         ],[577      ],[6       ],[167       ],[1532       ]
[lö         ],[583      ],[6       ],[109       ],[1474       ]
[lu         ],[589      ],[6       ],[141       ],[1506       ]
[ly         ],[595      ],[6       ],[177       ],[1542       ]
[ma         ],[601      ],[7       ],[119       ],[1748       ]
[ng         ],[608      ],[11      ],[13        ],[2698       ]
[no         ],[619      ],[6       ],[39        ],[1404       ]
[nä         ],[625      ],[7       ],[15        ],[1644       ]
